1,"Manufacturing","null"
2,"Construction materials",1
3,"Electronics and Optics",1
4,"Food and Beverage",1
5,"Bakery & confectionery products",4
6,"Beverages",4
7,"Fish & fish products",4
8,"Meat & meat products",4
9,"Milk & dairy products",4
10,"Other",4
11,"Sweets & snack food",4
12,"Furniture",1
13,"Bathroom",12
14,"Bedroom",12
15,"Kitchen",12
16,"Living room",12
17,"Office",12
18,"Other (Furniture)",12
19,"Outdoor",12
20,"Plastic and Rubber",1
21,"Packaging",20
22,"Plastic processing technology",20
23,"Blowing",22
24,"Moulding",22
25,"Plastics welding and processing",22
26,"Plastic profiles",20
27,"Other","null"
28,"Creative industries",27
29,"Energy technology",27
30,"Environment",27
31,"Service","null"
32,"Business services",31
33,"Engineering",31
34,"Information Technology and Telecommunications",31
35,"Data processing,Web portals,E-marketing",34
36,"Programming,Consultancy",34
37,"Software, Hardware",34
38,"Tourism",31
39,"Transport services",31
40,"Transport and Logistics",31
41,"Air",40
42,"Rail",40
43,"Road",40
44,"Water",40
